67.3	69.1	152.9	Galego
68.2	72.2	181.7	Galego
62.9	58.9	153.4	Galego
57.4	56.3	154.7	Galego
54.5	53.3	122.2	Galego
52.0	47.9	111.9	Galego
62.3	57.5	153.2	Galego
59.6	60.7	152.6	Galego
48.6	55.7	132.0	Galego
64.9	61.3	172.6	Galego
61.4	55.4	143.5	Galego
59.4	54.8	134.4	Galego
61.9	54.2	142.9	Galego
56.3	50.3	115.2	Galego
54.3	61.5	180.9	Galego
55.6	52.8	141.6	Galego
61.7	61.9	173.8	Galego
49.1	58.8	141.8	Galego
61.6	61.2	164.0	Galego
59.8	57.2	139.7	Galego
43.3	44.7	94.7	Galego
56.4	57.2	141.8	Galego
55.4	54.1	144.4	Galego
64.9	57.2	133.4	Galego
53.3	50.3	112.2	Galego
56.3	61.5	186.9	Galego
54.6	52.8	142.6	Galego
57.7	60.6	153.8	Galego
58.4	53.8	142.8	Galego
60.6	61.2	161.0	Galego
59.8	57.2	145.7	Galego
42.3	44.7	89.9	Galego
53.4	56.2	132.7	Galego
49.6	53.7	133.2	Galego
61.9	60.3	168.7	Galego
60.4	55.4	139.4	Galego
59.6	56.1	137.6	Galego
60.9	55.2	141.9	Galego
57.3	51.3	117.3	Galego
52.3	52.5	113.2	Galego
60.4	58.4	161.5	Galego
59.4	53.8	145.4	Galego
64.9	60.2	161.9	Galego
53.3	51.3	119.2	Galego
58.3	62.5	180.9	Galego
57.6	52.8	140.6	Galego
61.7	61.8	175.8	Galego
57.1	60.5	173.4	Galego
52.3	52.1	142.4	Galego
61.5	61.2	168.4	Galego
67.3	69.1	154.9	Galego
68.2	72.2	180.7	Galego
62.9	58.9	153.4	Galego
57.4	56.3	155.7	Galego
54.5	53.3	124.2	Galego
50.0	47.9	110.9	Galego
62.3	57.5	159.2	Galego
59.6	60.7	155.6	Galego
49.6	55.7	134.0	Galego
63.9	61.3	170.6	Galego
60.4	55.4	140.5	Galego
59.4	54.8	135.4	Galego
62.9	54.2	141.9	Galego
54.3	50.3	113.2	Galego
56.3	61.5	182.9	Galego
54.6	52.8	142.6	Galego
